antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'100% Whole Wheat Bread'}),frozenset({'Banana'}),0.02645,0.2043,0.00645,0.2438563327032136,1.1936188580676144,1.0,0.0010462649999999993,1.0523132499999999,0.16661869231880913,0.028756130182790905,0.04971262121806409,0.13771377574955102
frozenset({'Banana'}),frozenset({'100% Whole Wheat Bread'}),0.2043,0.02645,0.00645,0.031571218795888395,1.1936188580676141,1.0,0.0010462649999999993,1.005288172858226,0.20386028390973565,0.028756130182790905,0.005260355190681931,0.13771377574955102
frozenset({'Bag of Organic Bananas'}),frozenset({'Apple Honeycrisp Organic'}),0.16505,0.03625,0.0096,0.05816419266888821,1.6045294529348473,1.0,0.0036169374999999995,1.023267529752332,0.4512417784498074,0.05007824726134585,0.022738461913243285,0.1614958894378924
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.03625,0.16505,0.0096,0.26482758620689656,1.6045294529348473,1.0,0.0036169374999999995,1.135719981238274,0.3909357436230004,0.05007824726134585,0.11950127098256969,0.1614958894378924
frozenset({'Banana'}),frozenset({'Apple Honeycrisp Organic'}),0.2043,0.03625,0.00765,0.037444933920704845,1.0329636943642717,1.0,0.00024412499999999955,1.001241418764302,0.04010527171783624,0.03284671532846715,0.0012398795545575593,0.12423970833966277
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Banana'}),0.03625,0.2043,0.00765,0.2110344827586207,1.0329636943642715,1.0,0.00024412499999999955,1.0085358391608392,0.03311207751583117,0.03284671532846715,0.008463595272867514,0.12423970833966277
frozenset({'Organic Baby Spinach'}),frozenset({'Apple Honeycrisp Organic'}),0.10275,0.03625,0.005,0.04866180048661801,1.3423944961825658,1.0,0.0012753125000000004,1.013046675191816,0.2842713847868488,0.0373134328358209,0.012878651607385744,0.09329641748468832
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Baby Spinach'}),0.03625,0.10275,0.005,0.13793103448275865,1.342394496182566,1.0,0.0012753125000000004,1.04081,0.26465629053177697,0.0373134328358209,0.039209846177496406,0.09329641748468832
frozenset({'Organic Hass Avocado'}),frozenset({'Apple Honeycrisp Organic'}),0.0919,0.03625,0.00625,0.06800870511425464,1.876102210048404,1.0,0.0029186250000000006,1.0340761821366025,0.5142385199867857,0.051271534044298614,0.03295326081894126,0.12021124910885146
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Hass Avocado'}),0.03625,0.0919,0.00625,0.1724137931034483,1.8761022100484037,1.0,0.0029186250000000006,1.0972875,0.48454474708171213,0.051271534044298614,0.08866181379082512,0.12021124910885146
frozenset({'Organic Strawberries'}),frozenset({'Apple Honeycrisp Organic'}),0.1097,0.03625,0.00665,0.06061987237921604,1.6722723414956149,1.0,0.0026733749999999995,1.0259425036390102,0.45154585891889104,0.04773869346733668,0.025286508305282535,0.1220340741206425
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Organic Strawberries'}),0.03625,0.1097,0.00665,0.18344827586206897,1.6722723414956149,1.0,0.0026733749999999995,1.090316722972973,0.4171323249758637,0.04773869346733668,0.0828353092913276,0.1220340741206425
frozenset({'Asparagus'}),frozenset({'Banana'}),0.02745,0.2043,0.00565,0.2058287795992714,1.0074830132122927,1.0,4.196499999999971e-05,1.001925,0.007637071233683135,0.024988942945599286,0.0019213014946228358,0.11674209415597442
frozenset({'Banana'}),frozenset({'Asparagus'}),0.2043,0.02745,0.00565,0.027655408712677434,1.0074830132122927,1.0,4.196499999999971e-05,1.0002112509438712,0.009334464783610072,0.024988942945599286,0.00021120632633534018,0.11674209415597442
frozenset({'Bag of Organic Bananas'}),frozenset({'Fresh Cauliflower'}),0.16505,0.02875,0.0063,0.03817025143895789,1.3276609196159266,1.0,0.0015548124999999998,1.009794094488189,0.2955813341165757,0.0336,0.009699100580651626,0.1286503431107833
frozenset({'Fresh Cauliflower'}),frozenset({'Bag of Organic Bananas'}),0.02875,0.16505,0.0063,0.21913043478260869,1.3276609196159266,1.0,0.0015548124999999998,1.0692566815144764,0.2541010398153255,0.0336,0.06477086625858876,0.1286503431107833
frozenset({'Bag of Organic Bananas'}),frozenset({'Michigan Organic Kale'}),0.16505,0.0289,0.00545,0.033020296879733416,1.1425708262883536,1.0,0.0006800549999999997,1.0042609962406015,0.14944695364387578,0.028912466843501326,0.004242917186420983,0.11080080587931307
frozenset({'Michigan Organic Kale'}),frozenset({'Bag of Organic Bananas'}),0.0289,0.16505,0.00545,0.18858131487889274,1.1425708262883534,1.0,0.0006800549999999997,1.029000213219616,0.1284942168107858,0.028912466843501326,0.028182903022807036,0.11080080587931307
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Arugula'}),0.16505,0.03055,0.0051,0.030899727355346865,1.0114477039393408,1.0,5.772250000000024e-05,1.0003608783995,0.013555467099708974,0.02677165354330709,0.00036074821326201876,0.09891958544526755
frozenset({'Organic Baby Arugula'}),frozenset({'Bag of Organic Bananas'}),0.03055,0.16505,0.0051,0.16693944353518822,1.0114477039393408,1.0,5.772250000000024e-05,1.0022680746561885,0.011674802470371868,0.02677165354330709,0.0022629421344849605,0.09891958544526755
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Carrots'}),0.16505,0.03355,0.0074,0.04483489851560134,1.3363606114933333,1.0,0.0018625724999999996,1.0118146051379637,0.3014539630953787,0.038702928870292884,0.011676650127374757,0.132700608721288
frozenset({'Organic Baby Carrots'}),frozenset({'Bag of Organic Bananas'}),0.03355,0.16505,0.0074,0.22056631892697465,1.3363606114933333,1.0,0.0018625724999999996,1.071226481835564,0.26043663561124364,0.038702928870292884,0.06649059096589574,0.132700608721288
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.10275,0.16505,0.02235,0.21751824817518248,1.3178930516521203,1.0,0.0053911125,1.0670536380597015,0.26883598467352704,0.0910572418007741,0.06283998823304686,0.1764658796162189
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.16505,0.10275,0.02235,0.13541351105725535,1.3178930516521203,1.0,0.0053911125,1.0377793447792572,0.2888952479170276,0.0910572418007741,0.03640402458317677,0.1764658796162189
frozenset({'Organic Bartlett Pear'}),frozenset({'Bag of Organic Bananas'}),0.0167,0.16505,0.00505,0.3023952095808383,1.8321430450217409,1.0,0.002293665,1.1968811158798283,0.46190490095485703,0.028579513299377475,0.1644951309429766,0.1664959992163507
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Bartlett Pear'}),0.16505,0.0167,0.00505,0.03059678885186307,1.8321430450217406,1.0,0.002293665,1.01433540625,0.5439739973757841,0.028579513299377475,0.014132806724156484,0.1664959992163507
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Blackberries'}),0.16505,0.0277,0.00545,0.033020296879733416,1.1920684794127587,1.0,0.0008781150000000005,1.0055019736842106,0.19297205622926397,0.029097704217832355,0.005471867612602506,0.11488559970340462
frozenset({'Organic Blackberries'}),frozenset({'Bag of Organic Bananas'}),0.0277,0.16505,0.00545,0.19675090252707583,1.1920684794127587,1.0,0.0008781150000000005,1.0394658426966292,0.16571224760734746,0.029097704217832355,0.03796742622561331,0.11488559970340462
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Blueberries'}),0.16505,0.04195,0.00935,0.05664950015146925,1.3504052479492075,1.0,0.0024261525000000006,1.015582225433526,0.31077495754492973,0.04730584366304073,0.015343145087906948,0.139766943162743
frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.04195,0.16505,0.00935,0.2228843861740167,1.3504052479492075,1.0,0.0024261525000000006,1.0744218558282208,0.27084343280845374,0.04730584366304073,0.06926688565065778,0.139766943162743
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Cilantro'}),0.16505,0.029,0.00645,0.03907906694940927,1.3475540327382507,1.0,0.0016635499999999998,1.0104889659520806,0.30889841150029407,0.034381663113006396,0.010380089546250533,0.13074643002642877
frozenset({'Organic Cilantro'}),frozenset({'Bag of Organic Bananas'}),0.029,0.16505,0.00645,0.22241379310344828,1.3475540327382507,1.0,0.0016635499999999998,1.073771618625277,0.2656176402494032,0.034381663113006396,0.06870326738541023,0.13074643002642877
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Cucumber'}),0.16505,0.03295,0.0093,0.05634656164798545,1.7100625689828666,1.0,0.0038616024999999993,1.024793595505618,0.4973065156821572,0.049284578696343395,0.02419374556433013,0.1692961943293038
frozenset({'Organic Cucumber'}),frozenset({'Bag of Organic Bananas'}),0.03295,0.16505,0.0093,0.2822458270106221,1.7100625689828666,1.0,0.0038616024999999993,1.1632812896405917,0.42937394681641816,0.049284578696343395,0.14036268879648137,0.1692961943293038
frozenset({'Bag of Organic Bananas'}),"frozenset({""Organic D'Anjou Pears""})",0.16505,0.0214,0.0061,0.036958497425022725,1.727032589954333,1.0,0.0025679300000000004,1.0161555835168292,0.5041884318193198,0.03382312170779041,0.015898730252424612,0.16100261319849268
"frozenset({""Organic D'Anjou Pears""})",frozenset({'Bag of Organic Bananas'}),0.0214,0.16505,0.0061,0.28504672897196265,1.7270325899543328,1.0,0.0025679300000000004,1.1678385620915033,0.43017793904306256,0.03382312170779041,0.14371726327560053,0.16100261319849268
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Gala Apples'}),0.16505,0.03295,0.00925,0.05604362314450166,1.7008686842033889,1.0,0.0038116024999999996,1.0244647143774068,0.4935207319421943,0.04900662251655629,0.023880485129519322,0.1683859997361355
frozenset({'Organic Gala Apples'}),frozenset({'Bag of Organic Bananas'}),0.03295,0.16505,0.00925,0.2807283763277693,1.7008686842033887,1.0,0.0038116024999999996,1.1608271097046412,0.4261053049326665,0.04900662251655629,0.13854527376222447,0.1683859997361355
frozenset({'Organic Garlic'}),frozenset({'Bag of Organic Bananas'}),0.04665,0.16505,0.00975,0.20900321543408362,1.2663024261380407,1.0,0.0020504175000000003,1.055566869918699,0.2205897422449581,0.04827927704877445,0.05264173355779822,0.1340381118067116
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Garlic'}),0.16505,0.04665,0.00975,0.059073008179339595,1.2663024261380407,1.0,0.0020504175000000003,1.0132029459111398,0.2518704482534653,0.04827927704877445,0.013030899647914825,0.1340381118067116
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Garnet Sweet Potato (Yam)'}),0.16505,0.02405,0.00545,0.033020296879733416,1.3729853172446327,1.0,0.0014805475000000002,1.0092766134085214,0.3253609099264858,0.029676014157364556,0.009191348818826188,0.12981576174548
frozenset({'Organic Garnet Sweet Potato (Yam)'}),frozenset({'Bag of Organic Bananas'}),0.02405,0.16505,0.00545,0.22661122661122662,1.3729853172446327,1.0,0.0014805475000000002,1.079599327956989,0.2783545178985802,0.029676014157364556,0.07373043488978577,0.12981576174548
frozenset({'Organic Ginger Root'}),frozenset({'Bag of Organic Bananas'}),0.0221,0.16505,0.00535,0.24208144796380088,1.4667158313468698,1.0,0.0017023949999999993,1.1016355223880596,0.3253959227908745,0.029427942794279422,0.09225875557075379,0.13724793391828335
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Ginger Root'}),0.16505,0.0221,0.00535,0.032414419872765825,1.4667158313468698,1.0,0.0017023949999999993,1.0106599561678147,0.3811062613296559,0.029427942794279422,0.010547520066229495,0.13724793391828335
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Granny Smith Apple'}),0.16505,0.0253,0.0063,0.03817025143895789,1.508705590472644,1.0,0.0021242350000000004,1.0133810078740157,0.40383275493162324,0.03422982885085575,0.013204320754034979,0.1435910545732339
frozenset({'Organic Granny Smith Apple'}),frozenset({'Bag of Organic Bananas'}),0.0253,0.16505,0.0063,0.2490118577075099,1.5087055904726439,1.0,0.0021242350000000004,1.1118018421052631,0.3459322445164243,0.03422982885085575,0.10055914450866506,0.1435910545732339
frozenset({'Organic Grape Tomatoes'}),frozenset({'Bag of Organic Bananas'}),0.0343,0.16505,0.0059,0.17201166180758018,1.0421791081949723,1.0,0.00023878500000000004,1.0084079225352112,0.04190953080491363,0.030498836908761952,0.008337818800623004,0.10387920260933386
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Grape Tomatoes'}),0.16505,0.0343,0.0059,0.03574674341108755,1.0421791081949725,1.0,0.00023878500000000004,1.0015003770028275,0.048472404213791356,0.030498836908761952,0.0014981292441623207,0.10387920260933386
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Half & Half'}),0.16505,0.0337,0.0059,0.03574674341108755,1.0607342258482952,1.0,0.000337815,1.0021226201696514,0.06857509989941547,0.0305937256935442,0.002118124196509934,0.10541046369367434
frozenset({'Organic Half & Half'}),frozenset({'Bag of Organic Bananas'}),0.0337,0.16505,0.0059,0.17507418397626112,1.0607342258482952,1.0,0.000337815,1.012151618705036,0.059253626887112644,0.0305937256935442,0.012005729655980742,0.10541046369367434
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.0919,0.16505,0.0261,0.28400435255712736,1.7207170709307928,1.0,0.010931905000000002,1.1661383738601825,0.4612343738199542,0.11306042884990254,0.14246883353150172,0.2210691256878336
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.16505,0.0919,0.0261,0.15813389881853984,1.7207170709307926,1.0,0.010931905000000002,1.0786750989564593,0.5016431341588125,0.11306042884990254,0.07293678980127723,0.2210691256878336
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Kiwi'}),0.16505,0.0214,0.0066,0.039987882459860645,1.8685926383112452,1.0,0.00306793,1.0193621331650362,0.5567254072553791,0.03669724770642201,0.018994361802432705,0.17419954870656584
frozenset({'Organic Kiwi'}),frozenset({'Bag of Organic Bananas'}),0.0214,0.16505,0.0066,0.30841121495327106,1.8685926383112454,1.0,0.00306793,1.2072925675675676,0.47500294174113916,0.03669724770642201,0.17170035924698612,0.17419954870656584
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Large Extra Fancy Fuji Apple'}),0.16505,0.03185,0.0106,0.06422296273856407,2.0164195522312105,1.0,0.005343157499999999,1.0345947393978634,0.6037145484929048,0.056897477187332256,0.03343796182261433,0.19851650491716272
frozenset({'Organic Large Extra Fancy Fuji Apple'}),frozenset({'Bag of Organic Bananas'}),0.03185,0.16505,0.0106,0.33281004709576134,2.016419552231211,1.0,0.005343157499999999,1.2514427058823527,0.5206543017757072,0.056897477187332256,0.20092226731631996,0.19851650491716272
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Lemon'}),0.16505,0.03955,0.0106,0.06422296273856407,1.623842294274692,1.0,0.0040722725,1.0263662835869214,0.4601193495938634,0.05463917525773196,0.02568896115213084,0.166119066704301
frozenset({'Organic Lemon'}),frozenset({'Bag of Organic Bananas'}),0.03955,0.16505,0.0106,0.26801517067003794,1.6238422942746922,1.0,0.0040722725,1.1406657167530225,0.3999965130338864,0.05463917525773196,0.12331896600998615,0.166119066704301
frozenset({'Organic Navel Orange'}),frozenset({'Bag of Organic Bananas'}),0.0178,0.16505,0.0063,0.35393258426966295,2.1443961482560616,1.0,0.00336211,1.292357391304348,0.5433397006396395,0.0356839422259983,0.22622023386988796,0.19605141785431043
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Navel Orange'}),0.16505,0.0178,0.0063,0.03817025143895789,2.1443961482560616,1.0,0.00336211,1.0211786456692913,0.6391619306165088,0.0356839422259983,0.020739412990183153,0.19605141785431043
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Raspberries'}),0.16505,0.05995,0.0184,0.11148136928203574,1.859572465088169,1.0,0.0085052525,1.057996948516877,0.5536163646872893,0.08906098741529525,0.05481768978462394,0.20920190232241903
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.05995,0.16505,0.0184,0.30692243536280234,1.8595724650881693,1.0,0.0085052525,1.2046992178098677,0.4917206358126186,0.08906098741529525,0.16991728290652416,0.20920190232241903
frozenset({'Organic Red Bell Pepper'}),frozenset({'Bag of Organic Bananas'}),0.0254,0.16505,0.00575,0.22637795275590553,1.3715719645919753,1.0,0.0015577300000000002,1.0792737913486006,0.27797000330124294,0.031131564699512723,0.07345104827343617,0.13060794032827083
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Red Bell Pepper'}),0.16505,0.0254,0.00575,0.03483792790063617,1.371571964591975,1.0,0.0015577300000000002,1.0097785938480854,0.3244620219383093,0.031131564699512723,0.009683898933548296,0.13060794032827083
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Red Onion'}),0.16505,0.02595,0.00535,0.032414419872765825,1.2491105923994537,1.0,0.0010669524999999992,1.0066809799624294,0.23885307363527827,0.028817667654187987,0.00663664069890234,0.11929006157414784
frozenset({'Organic Red Onion'}),frozenset({'Bag of Organic Bananas'}),0.02595,0.16505,0.00535,0.20616570327552985,1.2491105923994539,1.0,0.0010669524999999992,1.0517938106796116,0.20474346679510863,0.028817667654187987,0.04924331190553908,0.11929006157414784
frozenset({'Organic Small Bunch Celery'}),frozenset({'Bag of Organic Bananas'}),0.02845,0.16505,0.00655,0.23022847100175747,1.394901369292684,1.0,0.0018543275,1.084672488584475,0.29139358253770137,0.0350361059106713,0.0780627235184831,0.13495670747906716
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Small Bunch Celery'}),0.16505,0.02845,0.00655,0.03968494395637686,1.394901369292684,1.0,0.0018543275,1.0116992271293377,0.33906633345051057,0.0350361059106713,0.01156393799225656,0.13495670747906716
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.16505,0.1097,0.0256,0.1551045137837019,1.413897117444867,1.0,0.007494015,1.0537397992111868,0.350601785660818,0.10274934778246038,0.050999116908572284,0.19423411650898859
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.1097,0.16505,0.0256,0.2333637192342753,1.413897117444867,1.0,0.007494015,1.0891083828775265,0.3288048533499943,0.10274934778246038,0.08181773667198669,0.19423411650898859
frozenset({'Organic Tomato Cluster'}),frozenset({'Bag of Organic Bananas'}),0.0273,0.16505,0.00695,0.25457875457875456,1.5424341386171134,1.0,0.002444134999999999,1.120104914004914,0.3615442589898472,0.03748651564185545,0.10722648611144926,0.14834360328150087
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Tomato Cluster'}),0.16505,0.0273,0.00695,0.042108451984247196,1.5424341386171134,1.0,0.002444134999999999,1.0154594244149273,0.4211918087543259,0.03748651564185545,0.015224069069854214,0.14834360328150087
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Whole Milk'}),0.16505,0.0569,0.0111,0.067252347773402,1.181939328179297,1.0,0.001708655,1.0110987658330626,0.18436179757216944,0.052644059758121885,0.010976935397520942,0.13116571694469747
frozenset({'Organic Whole Milk'}),frozenset({'Bag of Organic Bananas'}),0.0569,0.16505,0.0111,0.19507908611599298,1.181939328179297,1.0,0.001708655,1.0373068777292576,0.16322010696944425,0.052644059758121885,0.035965130985080515,0.13116571694469747
frozenset({'Organic Whole String Cheese'}),frozenset({'Bag of Organic Bananas'}),0.02655,0.16505,0.0066,0.2485875706214689,1.5061349325747888,1.0,0.0022179224999999995,1.111174060150376,0.3452143033914054,0.03567567567567568,0.1000509858332462,0.14428772654066477
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Whole String Cheese'}),0.16505,0.02655,0.0066,0.039987882459860645,1.5061349325747888,1.0,0.0022179224999999995,1.013997617544967,0.4024778293746495,0.03567567567567568,0.01380438898747819,0.14428772654066477
frozenset({'Organic Yellow Onion'}),frozenset({'Bag of Organic Bananas'}),0.04745,0.16505,0.01055,0.22233930453108536,1.3471027236054853,1.0,0.0027183775000000007,1.0736687669376692,0.27050140543181556,0.05224065362713543,0.06861405417220834,0.14312966438308283
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Yellow Onion'}),0.16505,0.04745,0.01055,0.06392002423508028,1.3471027236054853,1.0,0.0027183775000000007,1.0175946763754045,0.30860065122950586,0.05224065362713543,0.017290456390824924,0.14312966438308283
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Zucchini'}),0.16505,0.04185,0.00945,0.057255377158436836,1.3681093705719676,1.0,0.0025426575,1.0163409865038562,0.3222519740275295,0.047860217776652315,0.016078252004839363,0.14153091438567003
